#,Node_IDs,k,Qubits,Outcome,QAOA_Cost,Optimal_Cost,Gap_Pct
1,"[14, 38, 86]",1,9,optimal,4357.833,4357.833,0.0
2,"[20, 23, 81]",1,9,optimal,5601.427,5601.427,0.0
3,"[9, 99]",1,4,optimal,4888.995,4888.995,0.0
4,"[12, 64]",1,4,optimal,5514.407,5514.407,0.0
5,"[-1, -2, -3, -4]",1,16,optimal,6332.746879159915,6332.746879159914,0.0
6,"[2, 47]",1,4,optimal,6492.514999999999,6492.514999999999,0.0
7,"[1, 68]",1,4,optimal,6950.202,6950.202,0.0
8,"[-1, -2, -3]",1,9,optimal,6815.824820021035,6815.824820021035,0.0
9,"[17, 39, 70, 82]",1,16,feasible,6123.893,6123.889000000001,0.0001
10,"[18, 53, 50]",1,9,optimal,4180.706,4180.706,0.0
11,"[21, 16, 15, 52]",1,16,optimal,4496.709999999999,4496.709999999999,0.0
12,"[-1, -2, -3, -4]",1,16,optimal,6289.491916050223,6289.491916050223,0.0
13,"[33, 59]",1,4,optimal,4821.742,4821.742,0.0
14,"[25, 40]",1,4,optimal,4173.924,4173.924,0.0
15,"[83, 100]",1,4,optimal,4312.733,4312.733,0.0
16,"[58, 78]",1,4,optimal,3656.764,3656.764,0.0
17,"[-1, -2, -3]",1,9,optimal,4303.680047057203,4303.680047057203,0.0
18,"[32, 85]",1,4,optimal,5486.144,5486.144,0.0
19,"[-1, -2, -3, -4]",1,16,optimal,5506.617792952238,5506.617792952238,0.0
20,"[46, 65]",1,4,optimal,2993.428,2993.428,0.0
21,"[51, 94]",1,4,optimal,2415.58,2415.58,0.0
22,"[24, 75, 92]",1,9,optimal,3684.0190000000002,3684.0190000000002,0.0
23,"[29, 36, 89]",1,9,optimal,2414.06,2414.06,0.0
24,"[-1, -2, -3, -4]",1,16,optimal,3664.358600631449,3664.358600631449,0.0
25,"[27, 28, 43, 98]",1,16,optimal,13971.414999999999,13971.414999999999,0.0
26,"[3, 88]",1,4,optimal,7175.704,7175.704,0.0
27,"[26, 84, 90]",1,9,optimal,8368.767,8368.767,0.0
28,"[-1, -2, -3]",1,9,optimal,7032.686811342417,7032.686811342417,0.0
29,"[79, 95, 96]",1,9,optimal,7582.469999999999,7582.469999999999,0.0
30,"[41, 72, 97]",1,9,optimal,6686.407,6686.407,0.0
31,"[80, 91]",1,4,optimal,6654.9169999999995,6654.9169999999995,0.0
32,"[56, 77, 87]",1,9,optimal,8915.306,8915.306,0.0
33,"[-1, -2, -3, -4]",1,16,optimal,8799.624433001298,8799.624433001298,0.0
34,"[4, 55]",1,4,optimal,9257.528,9257.528,0.0
35,"[7, 37]",1,4,optimal,8395.797,8395.797,0.0
36,"[-1, -2, -3]",1,9,optimal,12362.708210414272,12362.708210414272,0.0
37,"[6, 11, 57]",1,9,optimal,8977.026,8977.026,0.0
38,"[8, 31]",1,4,optimal,8615.721,8615.721,0.0
39,"[42, 54]",1,4,optimal,11415.244,11415.244,0.0
40,"[-1, -2, -3, -4]",1,16,optimal,13112.780665446688,13112.780665446688,0.0
41,"[19, 69]",1,4,optimal,2400.892,2400.892,0.0
42,"[45, 61, 63]",1,9,optimal,4324.487999999999,4324.487999999999,0.0
43,"[44, 48, 60, 93]",1,16,optimal,1922.4299999999998,1922.4299999999998,0.0
44,"[-1, -2, -3, -4]",1,16,optimal,4388.758665849307,4388.758665849307,0.0
45,"[34, 66, 73]",1,9,optimal,2343.843,2343.843,0.0
46,"[5, 62, 67]",1,9,optimal,1575.996,1575.996,0.0
47,"[10, 22, 49]",1,9,optimal,3844.375,3844.375,0.0
48,"[-1, -2, -3, -4]",1,16,optimal,4246.1388565352345,4246.1388565352345,0.0
49,"[-1, -4, -9, -10]",3,20,optimal,8007.022447685889,8007.022447685889,0.0
50,"[-2, -5]",2,6,optimal,12317.244558838931,12317.244558838931,0.0
51,"[-3, -6]",1,4,optimal,6261.80650995022,6261.80650995022,0.0
52,"[-7, -8]",1,4,optimal,9316.07920427118,9316.07920427118,0.0

Summary Statistics
Total Calls,52
Optimal,51 (98.1%)
Feasible,1 (1.9%)
Non-Valid,0 (0.0%)
