Recursion Trace Log — RioClaroPostToy_200_0 k=7
======================================================================

  depth            label      n     k  clusters  allocs
  -----------------------------------------------------------------
      0              C>k    200     7        15  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
      1              k=1     20     1         5  [1, 1, 1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2              k=1      6     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      3     1         1  [1]
      3      leaf-single      1     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2              k=1      5     1         3  [1, 1, 1]
      3      leaf-single      1     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      1              k=1     11     1         4  [1, 1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1      6     1         3  [1, 1, 1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2      leaf-single      1     1         1  [1]
      1              k=1     15     1         4  [1, 1, 1, 1]
      2              k=1      7     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      3     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1     17     1         5  [1, 1, 1, 1, 1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      1              k=1      9     1         3  [1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2          leaf-bf      4     1         1  [1]
      1              k=1     14     1         4  [1, 1, 1, 1]
      2          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      2              k=1      6     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      3          leaf-bf      2     1         1  [1]
      2          leaf-bf      3     1         1  [1]
      1              k=1     16     1         4  [1, 1, 1, 1]
      2              k=1      5     1         3  [1, 1, 1]
      3          leaf-bf      2     1         1  [1]
      3      leaf-single      1     1         1  [1]
      3          leaf-bf      2     1         1  [1]
